,dataset,hbmnl_score,ensemble_score,hbmnl_time,ensemble_time,run
0,02_PathologyANA,0.566,0.58,112.69257760047913,172.61549878120422,0
1,02_PathologyANA,0.568,0.578,109.52552080154419,170.0654652118683,1
2,02_PathologyANA,0.566,0.55,112.89998579025269,174.02767252922058,2
3,02_PathologyANA,0.566,0.564,113.10022830963135,173.14190077781677,3
4,02_PathologyANA,0.572,0.574,113.71899843215942,179.19594192504883,4
5,02_PathologyANA,0.57,0.568,112.71247720718384,177.82480716705322,5
6,02_PathologyANA,0.568,0.574,112.35029530525208,170.00219583511353,6
7,02_PathologyANA,0.564,0.564,110.2080249786377,174.55657243728638,7
8,02_PathologyANA,0.568,0.568,112.6758668422699,171.9260377883911,8
9,02_PathologyANA,0.568,0.574,110.68966603279114,169.3281216621399,9
