,dataset,hbmnl_score,ensemble_score,hbmnl_time,ensemble_time,run
0,03_PathologyScreening,0.904,0.904,68.28426098823547,242.00446844100952,0
1,03_PathologyScreening,0.902,0.902,66.91604733467102,242.30239844322205,1
2,03_PathologyScreening,0.904,0.908,66.70705127716064,243.64994955062866,2
3,03_PathologyScreening,0.9,0.9,65.92618131637573,241.68458938598633,3
4,03_PathologyScreening,0.906,0.91,66.8532407283783,240.968364238739,4
5,03_PathologyScreening,0.906,0.908,70.3310763835907,240.34958600997925,5
6,03_PathologyScreening,0.904,0.904,66.59539842605591,241.8543107509613,6
7,03_PathologyScreening,0.904,0.9,70.77566885948181,241.1826331615448,7
8,03_PathologyScreening,0.906,0.904,67.40305423736572,238.8072874546051,8
9,03_PathologyScreening,0.902,0.906,66.28171873092651,239.22218489646912,9
