,dataset,hbmnl_score,ensemble_score,hbmnl_time,ensemble_time,run
0,04_PathologyMultiple,0.81,0.826,82.9016044139862,239.85872197151184,0
1,04_PathologyMultiple,0.81,0.826,72.1542592048645,240.8506956100464,1
2,04_PathologyMultiple,0.822,0.828,73.9405267238617,242.8898310661316,2
3,04_PathologyMultiple,0.82,0.824,72.90159845352173,238.64613604545593,3
4,04_PathologyMultiple,0.814,0.824,74.66257333755493,238.53630566596985,4
5,04_PathologyMultiple,0.818,0.824,70.97060441970825,239.0495138168335,5
6,04_PathologyMultiple,0.818,0.826,73.55742049217224,238.2051866054535,6
7,04_PathologyMultiple,0.818,0.846,83.24669194221497,239.3715889453888,7
8,04_PathologyMultiple,0.814,0.82,84.34608101844788,237.66455912590027,8
9,04_PathologyMultiple,0.818,0.824,72.27599549293518,238.69507265090942,9
