resp,task01,task02,task03,task04,task05,task06,task07,task08,task09,task10,task11,task12,task13,task14,task15
1,4,3,3,4,1,4,4,1,4,4,4,1,2,4,1
2,2,1,2,2,1,3,3,1,1,1,1,3,3,2,2
3,3,1,3,4,3,4,1,3,2,4,4,3,1,4,1
4,3,4,1,1,4,2,3,1,4,1,1,2,4,1,4
5,2,2,3,1,3,3,2,3,2,3,3,1,1,4,2
6,1,1,3,2,4,2,3,3,3,2,2,3,3,2,3
7,4,1,1,2,3,1,3,1,4,3,4,2,1,3,1
8,1,4,4,2,4,3,1,3,3,1,3,2,2,1,1
9,2,1,3,3,2,2,3,2,2,4,3,4,3,4,1
10,3,1,1,3,4,3,1,3,2,1,2,1,1,1,1
11,4,4,4,2,4,2,1,2,1,3,1,2,2,1,4
12,3,4,3,3,3,4,4,2,3,1,4,2,4,2,4
13,1,3,3,3,4,1,1,3,1,2,3,1,3,2,1
14,3,4,2,2,4,3,2,3,3,2,1,3,2,1,4
15,1,1,2,4,3,4,4,3,1,2,1,2,3,3,4
16,2,2,3,1,2,3,2,4,1,4,3,2,4,3,1
17,4,4,1,1,1,1,2,2,2,2,1,3,3,3,3
18,1,2,1,1,1,4,2,4,4,4,1,2,1,4,3
19,4,4,4,1,2,1,1,4,4,3,2,2,4,1,2
20,3,4,1,3,1,4,3,3,4,1,3,3,1,1,3
21,3,2,3,3,3,1,1,2,3,1,1,1,4,2,2
22,2,3,4,3,2,1,4,1,3,1,1,1,1,4,2
23,2,2,1,2,4,2,4,3,1,4,4,1,3,2,3
24,4,4,4,4,3,1,3,3,3,3,1,4,1,3,2
25,2,4,4,1,2,4,4,3,3,4,3,3,1,2,1
26,2,4,2,3,2,1,1,3,1,2,4,2,4,4,4
27,3,4,2,4,4,2,1,2,2,1,4,3,2,3,3
28,1,3,4,4,1,2,1,1,4,1,4,1,1,4,2
29,1,4,4,4,1,2,4,4,3,2,3,3,3,3,1
30,1,2,1,1,1,4,1,3,3,1,4,4,3,3,3
31,1,1,4,2,2,4,1,4,4,3,2,2,1,4,2
32,2,2,4,2,3,2,3,1,2,4,2,3,1,4,1
33,2,3,2,2,4,4,3,2,1,4,3,4,1,1,1
34,3,4,1,4,4,3,3,3,2,2,4,2,3,3,4
35,3,3,1,3,1,4,1,4,3,4,2,2,2,1,3
36,2,1,3,2,1,2,2,2,4,3,3,2,1,4,3
37,2,1,4,1,2,3,2,2,1,3,3,2,2,4,4
38,3,1,3,2,1,2,3,3,4,4,2,4,3,3,3
39,3,1,3,1,4,3,4,3,1,1,3,4,1,1,1
40,2,4,2,4,1,1,3,1,3,3,4,2,2,2,4
41,1,1,2,1,2,1,4,4,4,2,3,3,2,4,4
42,4,4,2,2,2,2,3,4,1,2,2,2,4,4,1
43,3,3,3,3,4,1,3,4,3,2,4,3,2,3,2
44,3,2,2,2,2,1,1,3,4,2,1,2,2,2,4
45,4,1,3,3,3,2,4,1,2,2,2,1,4,2,3
46,1,4,3,3,4,1,1,4,2,3,1,3,3,1,3
47,4,4,1,2,1,1,1,3,4,4,4,4,4,3,4
48,1,3,2,2,3,2,1,4,1,2,2,3,4,2,3
49,3,1,3,3,4,2,2,1,2,1,4,3,4,1,3
50,3,1,3,1,3,4,2,3,1,2,3,3,4,3,3
51,4,4,1,4,3,2,1,3,2,1,4,1,1,3,3
52,4,1,3,4,4,1,1,4,3,4,4,1,4,1,1
53,3,3,1,3,3,4,2,1,4,3,3,1,3,4,2
54,4,2,3,2,2,3,1,4,2,3,1,2,4,1,3
55,4,2,4,2,2,3,1,3,2,4,1,3,3,2,3
56,3,1,4,4,2,4,2,4,1,3,4,2,4,2,4
57,2,4,4,1,1,2,2,2,4,3,1,4,3,3,2
58,1,2,1,4,3,3,1,2,4,4,4,3,1,2,2
59,1,4,2,3,4,1,2,3,1,2,4,4,3,2,1
60,3,2,2,3,2,2,3,3,4,1,2,3,1,4,1
61,4,4,2,2,2,3,2,4,1,1,3,3,4,4,2
62,1,1,1,1,2,1,3,4,1,3,2,3,4,2,3
63,4,2,1,3,2,2,3,3,3,2,2,1,1,3,1
64,4,2,2,4,2,4,2,4,2,4,4,3,4,2,3
65,1,3,2,2,2,4,3,2,4,3,3,4,3,4,1
66,4,2,3,4,2,4,1,4,3,3,3,1,2,4,1
67,2,4,3,1,3,4,3,2,3,2,2,3,2,2,3
68,4,4,2,3,1,2,1,2,1,2,4,4,2,2,3
