resp,task01,task02,task03,task04,task05,task06,task07,task08,task09,task10,task11,task12,task13,task14,task15
1,3,3,1,2,3,3,1,3,1,1,3,3,3,4,4
2,4,2,3,3,3,3,2,4,2,4,3,2,2,3,2
3,2,4,1,2,4,1,1,2,1,1,1,2,4,2,1
4,1,2,3,1,2,1,2,1,2,4,4,3,4,4,2
5,2,4,1,4,1,3,4,1,1,3,3,4,4,2,3
6,2,2,2,2,3,3,3,4,3,3,1,2,4,3,2
7,3,2,2,4,2,1,2,3,2,1,3,4,2,2,3
8,1,2,1,2,3,1,4,3,1,2,3,4,1,1,2
9,3,4,1,2,3,4,1,4,2,1,4,4,3,3,3
10,4,2,4,4,4,3,2,2,2,4,1,2,2,1,1
11,1,1,2,2,2,3,4,4,1,1,2,4,4,4,4
12,1,3,4,4,4,1,4,2,1,3,3,4,4,4,2
13,4,3,1,3,3,3,3,3,2,2,1,2,3,1,3
14,4,3,2,4,1,4,1,1,2,3,1,1,1,3,2
15,3,3,2,2,1,2,4,4,2,4,2,4,1,1,3
16,4,1,4,1,3,2,1,2,3,1,1,4,4,2,4
17,3,3,2,4,3,4,4,3,2,1,4,3,2,4,1
18,2,2,1,3,4,3,1,4,3,2,3,4,3,3,4
19,2,3,2,1,1,3,3,2,1,4,2,1,4,3,4
20,4,2,4,3,3,4,3,4,3,4,1,3,3,2,2
21,1,2,3,2,2,1,2,4,2,1,2,4,1,1,4
22,3,3,1,2,3,2,3,2,2,3,2,1,1,4,1
23,4,1,3,3,4,1,3,2,2,3,4,1,1,1,4
24,3,1,2,3,3,1,3,3,4,3,2,3,4,4,4
25,4,3,2,3,1,2,1,3,4,1,3,3,1,2,3
26,1,4,3,1,3,2,2,1,1,2,1,3,3,4,1
27,2,2,3,3,1,3,4,2,2,2,4,4,2,2,4
28,3,4,2,2,3,1,3,2,1,4,1,4,3,4,1
29,3,4,3,4,2,1,2,2,3,2,3,3,3,2,3
30,2,2,2,1,4,3,1,2,2,2,3,1,3,2,3
31,1,3,4,3,2,2,2,1,3,2,1,2,2,1,1
32,2,4,2,2,1,3,1,4,1,1,1,2,4,4,2
33,3,1,1,1,2,4,1,4,2,4,3,3,4,4,3
34,1,4,3,3,2,1,2,1,3,4,4,3,2,4,3
35,3,4,1,3,4,2,4,4,1,4,2,4,4,4,3
36,1,4,3,3,4,1,3,4,3,4,3,2,4,3,1
37,3,3,3,4,3,1,3,4,4,2,2,2,2,1,3
38,1,1,4,2,2,4,2,3,4,2,1,1,4,4,3
39,1,2,3,4,1,1,2,1,1,3,3,2,4,1,4
40,2,3,1,3,3,3,1,3,4,1,2,3,4,1,4
41,1,1,4,1,4,1,2,3,1,1,4,3,3,3,4
42,1,2,4,1,4,2,3,2,3,4,4,3,3,2,2
43,4,1,2,1,3,4,3,2,1,3,3,3,4,3,1
44,2,4,3,1,3,2,3,2,3,4,1,4,4,4,2
45,1,2,2,1,2,2,2,2,2,3,2,1,1,4,2
46,4,3,3,3,4,2,2,3,3,1,1,3,2,4,2
47,1,3,3,4,3,4,1,4,4,3,3,2,2,1,3
48,1,3,1,2,4,2,2,3,4,1,2,3,4,3,3
49,2,2,1,1,2,3,4,3,3,1,2,1,3,3,3
50,3,3,3,4,1,4,4,4,3,2,2,1,4,1,4
51,2,4,2,3,3,1,1,2,2,4,3,3,3,4,2
52,1,4,1,4,3,3,2,4,4,1,4,1,2,1,4
53,3,4,1,1,3,4,4,2,3,1,4,3,2,1,2
54,1,3,1,3,2,1,3,4,1,3,2,3,1,2,4
55,4,3,2,1,3,3,4,4,2,2,1,4,3,2,1
56,3,1,2,3,3,3,4,4,3,4,4,3,1,3,2
57,3,2,1,1,4,1,4,2,4,1,2,4,2,3,2
58,3,1,3,4,1,2,4,4,4,4,4,2,2,1,3
59,4,1,2,2,3,4,1,3,4,2,2,1,1,3,3
60,4,1,2,1,3,3,3,3,1,1,4,3,4,2,1
61,4,1,2,4,1,2,4,4,4,1,4,1,2,4,3
62,2,1,2,1,1,4,1,3,2,1,1,1,1,3,3
63,2,4,1,3,1,1,3,4,4,1,4,4,4,3,2
64,1,2,1,4,4,4,1,3,4,2,4,2,2,3,4
65,2,4,3,2,1,3,1,1,2,4,4,2,4,3,1
66,4,1,3,2,4,2,3,2,3,3,2,2,4,3,4
67,3,4,3,4,4,4,3,3,1,2,2,1,1,2,1
68,1,2,3,1,2,2,2,2,1,1,4,4,3,3,3
69,1,3,1,4,1,4,1,3,4,2,3,1,2,4,4
70,3,3,1,1,1,1,1,2,2,3,3,2,2,4,2
71,3,4,4,2,2,3,4,2,4,2,1,4,2,3,1
72,3,1,4,4,4,2,4,4,4,3,2,4,1,2,3
73,4,1,2,2,1,3,2,4,1,1,2,2,4,1,4
74,4,4,4,4,2,1,2,1,4,2,4,2,2,3,2
75,2,2,2,3,1,3,3,1,3,4,3,4,2,3,1
76,2,3,4,4,4,2,2,4,2,2,4,3,3,2,1
77,4,3,2,2,3,2,1,2,3,2,1,3,2,2,3
78,1,4,4,3,3,1,2,4,3,2,2,1,3,3,3
79,4,3,3,2,4,2,1,1,2,4,4,3,1,2,3
80,2,1,2,4,1,4,4,4,3,3,3,1,3,2,3
81,4,4,1,3,4,3,2,2,2,4,4,1,4,1,1
82,2,3,1,3,2,3,4,4,4,1,2,3,2,2,2
83,2,1,4,3,3,4,1,2,2,1,4,4,3,1,3
84,4,1,2,3,3,3,3,2,3,2,3,3,3,4,4
85,3,4,4,3,2,4,4,2,2,1,3,4,2,3,3
86,2,1,1,1,1,2,2,2,1,3,2,1,3,1,1
