resp,task01,task02,task03,task04,task05,task06,task07,task08,task09,task10,task11,task12,task13,task14,task15
1,3,2,4,3,1,3,2,1,4,4,3,4,4,4,4
2,1,1,4,2,2,1,1,4,1,4,4,3,1,1,3
3,2,3,3,3,2,1,3,4,2,4,4,1,1,4,4
4,1,4,3,4,1,3,1,2,1,2,2,3,2,2,3
5,2,4,3,3,4,3,4,1,4,4,3,3,4,2,3
6,4,2,4,4,2,3,3,3,2,3,3,3,2,2,4
7,4,4,2,2,3,2,4,3,3,1,4,2,3,3,2
8,2,2,1,1,3,1,1,4,2,4,1,4,1,3,4
9,4,2,2,2,2,4,4,3,1,2,3,4,2,3,4
10,4,3,4,4,4,2,4,2,3,1,4,3,1,3,2
11,3,3,3,2,4,1,4,3,4,3,1,1,2,3,3
12,1,1,1,1,3,3,3,4,2,4,1,3,2,2,3
13,3,3,2,1,1,2,1,1,3,4,2,4,1,3,2
14,1,1,3,1,3,3,1,3,4,4,3,1,3,4,1
15,2,3,4,2,1,2,4,4,1,4,1,1,4,3,4
16,3,1,2,3,2,2,4,2,2,3,1,1,1,4,4
17,3,3,4,2,2,2,4,2,3,4,4,1,1,3,2
18,1,2,2,3,2,3,2,2,3,1,2,3,2,2,1
19,2,1,3,3,4,4,1,2,4,1,3,1,1,1,4
20,1,4,1,1,1,1,4,4,2,4,1,2,3,3,2
21,4,3,1,1,4,4,4,1,3,3,1,4,1,4,1
22,2,3,2,2,3,2,2,2,3,1,2,3,2,4,1
23,2,2,2,4,3,3,2,2,2,3,2,1,1,4,4
24,1,1,2,1,1,4,4,1,3,4,4,4,4,1,4
25,2,2,4,4,1,2,4,3,4,3,4,2,1,3,2
26,2,2,4,1,2,2,3,4,1,4,2,4,4,1,1
27,1,1,4,2,1,2,2,2,1,2,1,4,3,2,4
28,1,3,2,3,3,4,1,4,3,1,4,2,3,1,4
29,3,2,3,4,2,2,1,1,4,1,3,2,2,4,3
30,3,4,1,4,3,1,1,3,4,3,1,2,2,2,2
31,1,1,3,4,3,3,3,3,2,3,2,3,4,2,4
32,3,1,2,1,2,3,4,2,3,1,1,3,2,3,1
33,3,1,1,4,1,3,3,3,4,2,1,1,2,1,1
34,2,2,2,2,4,3,3,3,3,4,2,1,4,4,2
35,2,2,3,4,4,1,3,1,4,2,2,4,3,2,2
36,4,3,3,4,4,1,1,2,2,1,1,3,4,3,1
37,1,1,1,4,1,1,1,3,4,1,4,1,4,3,3
38,3,1,1,3,1,3,3,3,2,3,2,3,2,1,4
39,4,2,4,2,2,2,3,1,4,3,3,1,1,3,3
40,4,1,1,2,1,3,1,3,4,2,2,4,1,4,4
41,4,4,3,3,4,4,2,3,1,4,1,4,2,3,4
42,1,1,3,4,3,1,3,2,1,3,4,4,1,1,4
43,1,2,2,2,2,1,3,4,2,4,3,4,3,2,2
44,2,2,3,4,2,4,2,1,3,2,4,3,3,3,2
45,2,3,4,2,1,2,4,2,1,4,4,3,2,1,4
46,3,2,3,4,2,4,1,1,2,2,1,4,2,2,3
47,1,2,2,3,2,1,2,2,1,1,4,3,4,3,3
48,3,1,3,2,4,2,1,2,4,3,3,1,2,2,1
49,4,2,2,2,1,3,4,3,4,4,1,3,4,4,2
50,2,3,4,3,1,2,2,4,3,2,4,1,3,1,4
51,4,1,1,3,4,2,2,2,3,2,2,1,1,1,1
52,1,2,1,4,2,2,4,2,1,4,4,2,4,4,3
53,1,2,4,4,3,3,1,2,2,3,1,2,4,3,1
54,1,3,1,2,2,3,2,4,2,4,1,2,2,2,4
55,1,3,1,2,4,1,3,1,4,3,2,1,4,1,1
56,4,1,3,3,1,4,1,3,2,3,3,2,3,1,2
57,1,2,1,3,1,2,3,3,1,4,2,3,3,3,3
58,3,4,3,1,4,4,2,3,1,2,1,3,1,2,4
59,2,1,1,1,4,4,1,4,4,1,3,3,3,4,3
60,3,2,2,2,4,2,3,2,1,3,1,2,3,4,1
61,2,3,4,3,3,1,3,3,3,1,3,4,3,4,4
62,1,3,3,4,1,3,4,2,4,4,2,1,1,4,4
63,2,2,1,4,3,2,1,4,3,3,1,3,3,3,1
64,3,2,3,3,2,1,3,1,1,3,1,3,2,1,4
65,2,4,2,4,4,2,4,2,1,2,2,2,3,3,3
66,3,3,4,4,2,1,2,3,1,2,4,2,1,2,2
67,1,3,2,2,3,1,1,3,2,4,2,4,1,2,2
68,1,4,1,1,3,1,2,4,2,1,4,1,2,4,4
69,2,2,4,3,3,2,3,2,1,3,1,1,1,2,2
70,3,3,1,4,4,3,3,3,3,2,1,3,3,4,1
71,4,1,4,2,2,4,1,1,1,1,2,3,4,2,3
72,2,4,4,1,1,3,1,3,1,4,3,2,4,1,2
73,2,3,2,1,4,3,1,3,2,3,1,2,2,4,1
74,3,4,2,3,1,1,3,3,1,4,4,1,2,1,3
75,2,3,1,1,4,2,3,2,2,1,4,1,1,1,2
76,1,3,3,4,1,2,1,4,2,4,4,1,4,4,3
77,4,4,2,2,4,4,2,3,2,4,2,1,1,2,3
78,3,2,3,3,2,3,3,1,2,1,4,4,3,1,1
79,4,2,2,2,2,2,4,2,2,1,4,2,2,2,3
80,1,4,1,3,2,1,1,3,3,4,3,1,1,2,3
81,3,3,1,1,1,1,1,2,2,1,2,2,4,2,2
82,1,3,3,1,2,3,1,4,4,1,2,3,4,2,2
83,3,4,3,3,2,2,3,3,3,4,4,4,2,3,1
84,1,1,1,3,1,4,1,4,4,1,2,3,3,3,4
85,2,2,2,3,3,2,4,1,1,2,3,2,4,4,4
86,3,2,3,3,1,2,3,1,1,2,1,3,2,1,2
87,3,1,3,3,4,3,1,3,3,4,1,4,1,1,3
88,2,3,1,1,1,4,2,2,3,4,3,3,2,4,3
89,4,1,4,2,3,2,1,2,4,1,3,2,2,3,2
90,1,4,2,2,2,1,2,4,3,4,1,3,4,1,4
91,3,4,3,4,4,1,2,1,4,2,3,3,1,2,2
92,3,1,2,4,1,1,3,1,3,1,1,1,3,1,4
93,1,2,4,2,3,3,2,4,3,4,1,2,3,2,2
94,2,2,4,4,4,1,2,2,1,3,1,4,4,3,1
95,1,2,2,2,1,3,1,1,3,3,2,3,2,2,2
96,1,4,4,4,1,4,2,1,3,2,3,1,2,4,3
97,2,4,2,3,1,4,4,3,2,3,3,2,4,4,2
98,1,1,4,4,2,1,3,2,3,4,2,4,4,3,3
99,1,4,3,2,2,3,1,4,3,3,2,3,2,3,4
100,3,1,1,2,2,1,1,2,4,3,2,4,2,2,2
