resp,task01,task02,task03,task04,task05,task06
1,3.0,1.0,3.0,3.0,1.0,1.0
2,1.0,1.0,3.0,4.0,1.0,1.0
3,2.0,3.0,4.0,3.0,4.0,2.0
4,2.0,4.0,1.0,2.0,1.0,2.0
5,4.0,1.0,4.0,1.0,1.0,1.0
6,2.0,4.0,1.0,1.0,1.0,2.0
7,3.0,1.0,4.0,4.0,4.0,4.0
8,1.0,2.0,2.0,1.0,1.0,4.0
9,2.0,1.0,1.0,2.0,1.0,1.0
10,4.0,2.0,3.0,4.0,4.0,4.0
11,1.0,1.0,1.0,1.0,4.0,4.0
12,2.0,4.0,1.0,3.0,3.0,1.0
13,4.0,1.0,1.0,2.0,1.0,2.0
14,3.0,3.0,2.0,3.0,3.0,3.0
15,2.0,3.0,2.0,3.0,1.0,4.0
16,3.0,3.0,1.0,2.0,3.0,2.0
17,4.0,1.0,3.0,2.0,4.0,3.0
18,2.0,2.0,4.0,4.0,3.0,2.0
19,1.0,4.0,3.0,2.0,4.0,3.0
20,1.0,1.0,1.0,1.0,1.0,1.0
21,4.0,3.0,4.0,1.0,4.0,2.0
22,3.0,2.0,3.0,2.0,4.0,2.0
23,3.0,3.0,3.0,3.0,1.0,1.0
24,2.0,3.0,2.0,3.0,4.0,1.0
25,4.0,4.0,4.0,2.0,4.0,4.0
26,1.0,2.0,1.0,1.0,3.0,2.0
27,3.0,3.0,1.0,1.0,1.0,4.0
28,2.0,2.0,4.0,2.0,1.0,2.0
29,3.0,3.0,4.0,3.0,4.0,4.0
30,1.0,3.0,1.0,3.0,3.0,4.0
31,2.0,1.0,1.0,4.0,4.0,1.0
32,2.0,2.0,4.0,4.0,4.0,3.0
33,2.0,1.0,1.0,3.0,3.0,4.0
34,3.0,2.0,2.0,2.0,3.0,3.0
35,1.0,1.0,3.0,2.0,3.0,4.0
36,1.0,1.0,1.0,1.0,1.0,3.0
37,4.0,4.0,1.0,2.0,2.0,4.0
38,1.0,2.0,4.0,4.0,4.0,2.0
39,4.0,3.0,3.0,3.0,3.0,2.0
40,2.0,1.0,1.0,1.0,1.0,1.0
41,1.0,4.0,3.0,2.0,4.0,4.0
42,2.0,4.0,4.0,4.0,3.0,3.0
43,1.0,3.0,2.0,2.0,2.0,2.0
44,2.0,2.0,4.0,2.0,4.0,4.0
45,1.0,2.0,2.0,2.0,2.0,3.0
46,4.0,4.0,1.0,4.0,1.0,3.0
47,4.0,4.0,1.0,3.0,1.0,3.0
48,3.0,4.0,4.0,3.0,2.0,1.0
49,4.0,2.0,2.0,3.0,1.0,3.0
50,1.0,3.0,1.0,3.0,1.0,3.0
51,2.0,2.0,2.0,2.0,1.0,4.0
52,2.0,2.0,1.0,1.0,2.0,3.0
53,2.0,1.0,2.0,4.0,1.0,1.0
54,2.0,1.0,2.0,4.0,1.0,2.0
55,3.0,3.0,4.0,1.0,1.0,4.0
56,2.0,2.0,2.0,1.0,1.0,3.0
57,4.0,2.0,1.0,4.0,3.0,4.0
58,2.0,1.0,4.0,2.0,3.0,2.0
59,4.0,4.0,2.0,1.0,1.0,1.0
60,3.0,1.0,2.0,1.0,4.0,1.0
61,1.0,1.0,2.0,1.0,1.0,4.0
62,2.0,2.0,1.0,2.0,2.0,1.0
63,2.0,1.0,2.0,1.0,1.0,1.0
64,4.0,2.0,4.0,4.0,4.0,2.0
65,4.0,4.0,3.0,4.0,2.0,2.0
66,1.0,4.0,2.0,3.0,2.0,1.0
67,4.0,1.0,2.0,1.0,3.0,1.0
68,2.0,1.0,4.0,3.0,3.0,2.0
69,2.0,2.0,1.0,2.0,1.0,1.0
70,2.0,3.0,3.0,1.0,2.0,2.0
71,2.0,4.0,2.0,2.0,3.0,4.0
72,2.0,1.0,1.0,4.0,1.0,1.0
73,2.0,1.0,2.0,4.0,2.0,1.0
74,4.0,4.0,3.0,3.0,4.0,2.0
75,3.0,4.0,4.0,1.0,4.0,2.0
76,2.0,3.0,2.0,4.0,1.0,4.0
77,3.0,1.0,1.0,1.0,3.0,1.0
78,1.0,3.0,2.0,1.0,2.0,4.0
79,1.0,4.0,1.0,2.0,3.0,1.0
80,3.0,1.0,2.0,2.0,1.0,1.0
81,4.0,2.0,2.0,4.0,3.0,1.0
82,1.0,3.0,4.0,1.0,4.0,2.0
83,2.0,2.0,4.0,3.0,1.0,3.0
84,1.0,1.0,1.0,3.0,4.0,3.0
85,2.0,4.0,2.0,2.0,3.0,2.0
86,4.0,2.0,2.0,2.0,3.0,1.0
87,3.0,3.0,2.0,2.0,1.0,3.0
88,4.0,3.0,2.0,2.0,2.0,2.0
89,2.0,4.0,1.0,1.0,1.0,2.0
90,2.0,4.0,3.0,1.0,2.0,2.0
91,4.0,4.0,3.0,3.0,2.0,3.0
92,4.0,1.0,1.0,4.0,3.0,1.0
93,2.0,1.0,1.0,3.0,1.0,4.0
94,3.0,2.0,2.0,4.0,4.0,1.0
95,3.0,3.0,2.0,2.0,3.0,3.0
