resp,task01,task02,task03,task04,task05,task06,task07,task08,task09,task10
1,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0
2,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0
3,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
4,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0
5,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0
6,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0
7,2.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0
8,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0
9,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0
10,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0
11,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0
12,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0
13,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0
14,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0
15,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0
16,2.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0
17,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0
18,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0
19,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0
20,2.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0
21,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0
22,1.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0
23,3.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0
24,2.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0
25,4.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0
26,4.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0
27,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0
28,3.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0
29,3.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0
30,4.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0
31,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0
32,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0
33,2.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0
34,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0
35,1.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0
36,2.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0
37,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0
38,4.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0
39,3.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0
40,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0
41,3.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0
42,3.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0
43,3.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0
44,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0
45,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0
46,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0
47,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0
48,2.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0
49,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0
50,2.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0
51,2.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0
52,3.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,4.0,3.0
53,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0
54,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0
55,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0
56,2.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0
57,3.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0
58,3.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0
59,2.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0
60,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0
61,1.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0
62,3.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0
63,1.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0
64,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,1.0
65,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0
66,4.0,3.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0
67,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0
68,3.0,2.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,2.0
69,4.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,3.0
70,4.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0
71,2.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0
72,3.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,3.0,4.0
73,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0
74,4.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0
75,3.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0
76,1.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0
77,2.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0
78,3.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0
79,2.0,2.0,1.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0
80,4.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0
81,1.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0
82,4.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0
83,3.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0
84,2.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0
85,3.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,1.0,3.0
86,3.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0,4.0,2.0
87,4.0,2.0,3.0,3.0,2.0,4.0,3.0,1.0,2.0,3.0
88,3.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0
89,3.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0
90,3.0,3.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,4.0
91,2.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,2.0,4.0
92,2.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0
93,2.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,4.0
94,3.0,3.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0
95,3.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0
96,3.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0
97,3.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0
98,2.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,4.0,2.0
99,2.0,3.0,2.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0
100,1.0,1.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0
101,2.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,4.0
102,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0
103,2.0,1.0,1.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0
104,4.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0
105,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
106,1.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0
107,2.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,1.0,3.0
108,3.0,3.0,4.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0
109,4.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0
110,3.0,3.0,1.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0
111,2.0,3.0,2.0,4.0,2.0,2.0,1.0,3.0,3.0,4.0
112,2.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,4.0
113,3.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,1.0,2.0
114,2.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,3.0
115,2.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0,2.0,4.0
116,1.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0
117,3.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0
118,2.0,4.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0
119,4.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0
120,4.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0
121,2.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0
122,1.0,2.0,3.0,4.0,2.0,3.0,1.0,2.0,1.0,2.0
123,1.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0
124,2.0,2.0,1.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0
125,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,4.0
126,2.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0
127,2.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
128,1.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0
129,4.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0
130,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0
131,2.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0
132,4.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,3.0
133,4.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,1.0,3.0
134,4.0,2.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,3.0
135,3.0,4.0,3.0,4.0,3.0,2.0,1.0,4.0,3.0,4.0
136,3.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0
137,3.0,4.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0
138,3.0,4.0,3.0,1.0,4.0,4.0,2.0,3.0,3.0,2.0
139,2.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0
140,2.0,3.0,3.0,1.0,4.0,3.0,2.0,4.0,4.0,3.0
141,2.0,3.0,3.0,1.0,2.0,4.0,4.0,2.0,3.0,4.0
142,1.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0
143,2.0,3.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0
144,4.0,2.0,4.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0
145,4.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0
146,1.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0
147,4.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0
148,2.0,3.0,4.0,4.0,2.0,3.0,1.0,4.0,2.0,3.0
149,4.0,1.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0
150,3.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0
151,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,4.0,1.0
152,2.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0
153,3.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0
154,2.0,4.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0
155,3.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0
156,2.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0
157,4.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0
158,2.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0
159,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0
160,1.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0
161,2.0,3.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0
162,4.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,1.0,3.0
163,4.0,2.0,1.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0
164,4.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0
165,2.0,4.0,3.0,4.0,3.0,4.0,1.0,4.0,2.0,3.0
166,2.0,1.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0
167,3.0,4.0,3.0,4.0,3.0,1.0,4.0,4.0,2.0,2.0
168,4.0,2.0,4.0,1.0,4.0,3.0,2.0,3.0,3.0,4.0
169,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0
170,2.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0
