resp,task01,task02,task03,task04,task05,task06,task07,task08,task09,task10,task11,task12
1,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,4.0,3.0,1.0,2.0
2,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0
3,2.0,2.0,1.0,3.0,4.0,4.0,1.0,4.0,3.0,2.0,3.0,4.0
4,4.0,2.0,4.0,3.0,4.0,1.0,4.0,3.0,2.0,1.0,4.0,4.0
5,2.0,1.0,4.0,4.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0
6,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0
7,1.0,2.0,3.0,3.0,4.0,4.0,1.0,2.0,4.0,1.0,2.0,3.0
8,1.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,4.0,3.0,2.0
9,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0
10,2.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0
11,2.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,4.0
12,2.0,3.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0
13,1.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,1.0,3.0,2.0
14,3.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,4.0,4.0,2.0,1.0
15,2.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,1.0,4.0,2.0
16,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
17,3.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0
18,3.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,3.0,1.0,4.0
19,3.0,4.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0
20,4.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,2.0,3.0,3.0
21,4.0,4.0,4.0,3.0,3.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0
22,1.0,4.0,1.0,4.0,2.0,2.0,4.0,4.0,1.0,4.0,1.0,3.0
23,3.0,4.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,1.0,4.0,2.0
24,3.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0
25,2.0,1.0,4.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0
26,2.0,3.0,1.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0
27,3.0,1.0,3.0,2.0,4.0,3.0,3.0,1.0,4.0,1.0,4.0,3.0
28,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0
29,2.0,4.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0,4.0,3.0
30,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,4.0,1.0,4.0
31,1.0,1.0,3.0,4.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,4.0
32,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,4.0,2.0
33,2.0,2.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0
34,2.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0
